Jahr,Ereignis
1890,"Geburt in Frýdek
(21.04.1890)"
1908,"Beginn des Studiums
der Orientalistik
Universität Leipzig"
1913,"Promotion
Universität Leipzig"
1920,"Habilitation
Universität Leipzig"
1920,"Privatdozent für 
Semitische Philologie
Universität Leipzig"
1925,"Außerordentlicher Professor für 
Semitische Philologie
Universität Leipzig"
1928,"Ordentlicher Professor für 
Semitische Philologie und 
Orientalische Geschichte
Universität Marburg"
1929,"Ordentlicher Professor für 
Orientalische Philologie
Universität Leipzig"
1935,"Entlassung durch
die Universität Leipzig 
aufgrund des Gesetzes zur 
Wiederherstellung des 
Berufsbeamtentums"
1935,"Ordentlicher Professor 
für Altorientalistik
Universität Ankara"
1948,"Professor für Assyriologie
am Oriental Institute
Universität Chicago"
1955,Emeritierung
1968,"Tod in Chicago
(26.04.1968)"
