Id,Label,Name,GND ID,Wikidata ID,Notiz,Rolle
0,Benno Landsberger,Benno Landsberger,https://d-nb.info/gnd/116681888,http://www.wikidata.org/entity/Q67592,,
1,François Thureau-Dangin,François Thureau-Dangin,https://d-nb.info/gnd/118802194,http://www.wikidata.org/entity/Q1352388,,"Absender*in, Empfänger*in, rezensierte*r Autor*in"
2,Karl Friedrich Müller,Karl Friedrich Müller,,,nicht in Gesamtnetzwerk,"Absender*in, Empfänger*in"
3,Richard Hartmann,Richard Hartmann,https://d-nb.info/gnd/119489228,https://www.wikidata.org/wiki/Q1525652,nicht in Gesamtnetzwerk,Absender*in
4,Karl Budde,Karl Budde,https://d-nb.info/gnd/118667904,https://www.wikidata.org/wiki/Q88003,nicht in Gesamtnetzwerk,Absender*in
5,Joh. F. Kunstmann,Joh. F. Kunstmann,,,nicht in Gesamtnetzwerk,Absender*in
6,Johannes Pedersen,Johannes Pedersen,https://d-nb.info/gnd/116071966,https://www.wikidata.org/wiki/Q6039205,nicht in Gesamtnetzwerk,Absender*in
7,Walter G. Kunstmann,Walter G. Kunstmann,https://d-nb.info/gnd/125725353,,nicht in Gesamtnetzwerk,Absender*in
8,Walter Andrae,Walter Andrae,https://d-nb.info/gnd/118835173,http://www.wikidata.org/entity/Q67392,,Absender*in
9,Harri Holma,Harri Holma,https://d-nb.info/gnd/116965428,http://www.wikidata.org/entity/Q5480518,,"Absender*in, rezensierte*r Autor*in"
10,Cyril John Gadd,Cyril John Gadd,https://d-nb.info/gnd/101111088,http://www.wikidata.org/entity/Q52150040,,"Absender*in, rezensierte*r Autor*in"
11,Friedrich Stummer,Friedrich Stummer,https://d-nb.info/gnd/117363286,https://www.wikidata.org/wiki/Q1417449,nicht in Gesamtnetzwerk,"Absender*in, rezensierte*r Autor*in"
12,Giorgio Castellino,Giorgio Castellino,https://d-nb.info/gnd/137480954,https://www.wikidata.org/wiki/Q93269194,nicht in Gesamtnetzwerk,Absender*in
13,Aapeli Saarisalo,Aapeli Saarisalo,https://d-nb.info/gnd/120638193,https://www.wikidata.org/wiki/Q9321450,nicht in Gesamtnetzwerk,Absender*in
14,Reginald Campbell Thompson,Reginald Campbell Thompson,https://d-nb.info/gnd/115627065,http://www.wikidata.org/entity/Q1918460,,Absender*in
15,Torgny Segerstedt,Torgny Segerstedt,https://d-nb.info/gnd/101289685,https://www.wikidata.org/wiki/Q525099,nicht in Gesamtnetzwerk,Empfänger*in
16,Jussi Aro,Jussi Aro,https://d-nb.info/gnd/1191135454,http://www.wikidata.org/entity/Q1714074,,Empfänger*in
17,Jakob J. Finkelstein,Jakob J. Finkelstein,https://d-nb.info/gnd/136088295,http://www.wikidata.org/entity/Q105096216,,Absender*in
18,Ingo Krumbiegel,Ingo Krumbiegel,https://d-nb.info/gnd/174088981,https://www.wikidata.org/wiki/Q21341018,nicht in Gesamtnetzwerk,Co-Autor*in
19,Richard Hallock,Richard Hallock,https://d-nb.info/gnd/1055431780,http://www.wikidata.org/entity/Q7326221,,Co-Autor*in
20,Adam Falkenstein,Adam Falkenstein,https://d-nb.info/gnd/118685945,http://www.wikidata.org/entity/Q95566,,Co-Autor*in
21,Edmund Gordon,Edmund Gordon,https://d-nb.info/gnd/1211680045,https://www.wikidata.org/wiki/Q111147811,nicht in Gesamtnetzwerk,Co-Autor*in
22,Anne Kilmer,Anne Kilmer,https://d-nb.info/gnd/156802104,https://www.wikidata.org/wiki/Q111147806,,Co-Autor*in
23,Miguel Civil,Miguel Civil,https://d-nb.info/gnd/119216124,http://www.wikidata.org/entity/Q9032685,,"Co-Autor*in, Co-Herausgeber*in"
24,Hans Heinrich Schaeder,Hans Heinrich Schaeder,https://d-nb.info/gnd/117095575,https://www.wikidata.org/wiki/Q77997,nicht in Gesamtnetzwerk,Co-Herausgeber*in
25,Martin David,Martin David,https://d-nb.info/gnd/129498238,https://www.wikidata.org/wiki/Q23638975,nicht in Gesamtnetzwerk,Co-Herausgeber*in
26,Giuseppe Furlani,Giuseppe Furlani,https://d-nb.info/gnd/118885839,http://www.wikidata.org/entity/Q16744611,,Co-Herausgeber*in
27,Paul Koschaker,Paul Koschaker,https://d-nb.info/gnd/118565621,http://www.wikidata.org/entity/Q114526,,Co-Herausgeber*in
28,John Miles,John Miles,https://d-nb.info/gnd/142106798,,nicht in Gesamtnetzwerk,Co-Herausgeber*in
29,Ernst Klauber,Ernst Klauber,https://d-nb.info/gnd/116206195,https://www.wikidata.org/wiki/Q59532115,,Co-Autor*in
30,Hans Ehelolf,Hans Ehelolf,https://d-nb.info/gnd/135913837,http://www.wikidata.org/entity/Q123496,,Co-Autor*in
31,Theo Bauer,Theo Bauer,https://d-nb.info/gnd/1034114441,http://www.wikidata.org/entity/Q107163077,,Co-Autor*in
32,Erica Reiner,Erica Reiner,https://d-nb.info/gnd/11930404X,http://www.wikidata.org/entity/Q1351817,,Co-Herausgeber*in
33,Johannes Friedrich,Johannes Friedrich,https://d-nb.info/gnd/11869359X,http://www.wikidata.org/entity/Q72333,,Co-Autor*in
34,Hans Gustav Güterbock,Hans Gustav Güterbock,https://d-nb.info/gnd/121116522,http://www.wikidata.org/entity/Q91991,,Co-Autor*in
35,Kemal Balkan,Kemal Balkan,https://d-nb.info/gnd/127577458X,,nicht in Gesamtnetzwerk,Co-Autor*in
36,Thorkild Jacobsen,Thorkild Jacobsen,https://d-nb.info/gnd/124206018,http://www.wikidata.org/entity/Q7662926,,"Co-Autor*in, Co-Herausgeber*in"
37,Ignace Gelb,Ignace Gelb,https://d-nb.info/gnd/128316101,http://www.wikidata.org/entity/Q76890,,Co-Herausgeber*in
38,Oliver Gurney,Oliver Gurney,https://d-nb.info/gnd/115592717,http://www.wikidata.org/entity/Q351122,,Co-Autor*in
39,Adolf Leo Oppenheim,Adolf Leo Oppenheim,https://d-nb.info/gnd/137690428,http://www.wikidata.org/entity/Q215468,,Co-Herausgeber*in
40,James Kinnier Wilson,James Kinnier Wilson,https://d-nb.info/gnd/133322300,http://www.wikidata.org/entity/Q6137372,,Co-Autor*in
41,Hayim Tadmor,Hayim Tadmor,https://d-nb.info/gnd/119010534,http://www.wikidata.org/entity/Q2909659,,Co-Autor*in
42,Otto Schröder,Otto Schröder,https://d-nb.info/gnd/117078956,http://www.wikidata.org/entity/Q2040524,,rezensierte*r Autor*in
43,Elihu Grant,Elihu Grant,https://d-nb.info/gnd/1055342605,https://www.wikidata.org/wiki/Q5360851,nicht in Gesamtnetzwerk,rezensierte*r Autor*in
44,Arthur Ungnad,Arthur Ungnad,https://d-nb.info/gnd/117310085,http://www.wikidata.org/entity/Q711755,,rezensierte*r Autor*in
45,Johannes Nikel,Johannes Nikel,https://d-nb.info/gnd/117019615,https://www.wikidata.org/wiki/Q11727828,nicht in Gesamtnetzwerk,rezensierte*r Autor*in
46,Julius Lewy,Julius Lewy,https://d-nb.info/gnd/116977922,http://www.wikidata.org/entity/Q55847835,,rezensierte*r Autor*in
47,Edward Chiera,Edward Chiera,https://d-nb.info/gnd/102939332X,http://www.wikidata.org/entity/Q5342291,,rezensierte*r Autor*in
48,Henry Frederick Lutz,Henry Frederick Lutz,https://d-nb.info/gnd/1029392714,http://www.wikidata.org/entity/Q105382614,,rezensierte*r Autor*in
49,Bruno Meissner,Bruno Meissner,https://d-nb.info/gnd/116870214,http://www.wikidata.org/entity/Q90884,,rezensierte*r Autor*in
50,Marcel Cohen,Marcel Cohen,https://d-nb.info/gnd/118669656,https://www.wikidata.org/wiki/Q969286,nicht in Gesamtnetzwerk,rezensierte*r Autor*in
51,Stephen Herbert Langdon,Stephen Herbert Langdon,https://d-nb.info/gnd/121281396,http://www.wikidata.org/entity/Q4285160,,rezensierte*r Autor*in
52,Friedrich Nötscher,Friedrich Nötscher,https://d-nb.info/gnd/122575865,https://www.wikidata.org/wiki/Q1455630,,rezensierte*r Autor*in
53,Hans-Siegfried Schuster,Hans-Siegfried Schuster,https://d-nb.info/gnd/1027030955,https://www.wikidata.org/wiki/Q15449583,,Co-Autor*in
54,Anton Jirku,Anton Jirku,https://d-nb.info/gnd/137726228,https://www.wikidata.org/wiki/Q15452767,nicht in Gesamtnetzwerk,rezensierte*r Autor*in
55,Simon Konrad Landersdorfer,Simon Konrad Landersdorfer,https://d-nb.info/gnd/118726196,https://www.wikidata.org/wiki/Q43844,nicht in Gesamtnetzwerk,rezensierte*r Autor*in
56,Léon Legrain,Léon Legrain,https://d-nb.info/gnd/1055104097,http://www.wikidata.org/entity/Q98961712,,rezensierte*r Autor*in
57,Abraham Sachs,Abraham Sachs,https://d-nb.info/gnd/118966383,http://www.wikidata.org/entity/Q330562,,Co-Autor*in
58,Julius Jordan,Julius Jordan,https://d-nb.info/gnd/137666128,https://www.wikidata.org/wiki/Q1712720,,rezensierte*r Autor*in
