,Arbeit,Moratorium,Hinrichs,Milréis,Mark
1931-09-08_Kunstmann_Landsberger,1.54,0.0,0.0,1.23,0.0
1931-11-24_Kunstmann_Landsberger,1.52,1.52,1.02,1.02,1.02
1936-05-09_Mueller_Landsberger,4.6,0.0,0.0,0.0,0.0
1936-11-09_Mueller_Landsberger,2.36,0.0,0.0,0.0,0.0
1936-11-11_Mueller_Landsberger,1.7,0.0,0.0,0.0,0.0
1936-11-27_Mueller_Landsberger,1.38,0.0,0.0,0.0,0.0
1936-12-13_Landsberger_Mueller,1.65,0.0,0.0,0.0,0.0
1937-01-29_Mueller_Landsberger,1.49,0.0,0.0,0.0,0.0
1937-02-09_Landsberger_Mueller,2.61,0.0,0.0,0.0,0.0
1937-04-13_Landsberger_Mueller,1.94,0.0,0.0,0.0,0.0
1937-04-29_Mueller_Landsberger,2.51,0.0,0.0,0.0,0.0
1937-05-03_Landsberger_Mueller,2.86,0.0,0.0,0.0,0.0
1937-05-08_Landsberger_Mueller,2.17,0.0,0.0,0.0,0.0
1937-05-14_Landsberger_Mueller,2.62,0.0,0.0,0.0,0.0
1937-05-18_Mueller_Landsberger,4.69,0.0,0.0,0.0,0.0
1937-05-26_Mueller_Landsberger,1.49,0.0,0.0,0.0,0.0
1937-06-19_Landsberger_Mueller,1.36,0.0,0.0,0.0,0.0
1937-07-19_Mueller_Landsberger,2.08,0.0,0.0,0.0,0.0
1937-07-25_Mueller_Landsberger,1.79,0.0,0.0,0.0,0.0
1937-11-22_Mueller_Landsberger,2.31,0.0,0.0,0.0,0.0
1937-12-12_Landsberger_Mueller,1.77,0.0,0.0,0.0,0.0
1938-01-20_Mueller_Landsberger,3.94,0.0,0.0,0.0,0.0
Summe,50.38,1.52,1.02,2.25,1.02
